Questions,Answers
What are the check-in and check-out times?,"Check-in time is from 3:00 PM, and check-out is until 11:00 AM."
Do you offer free Wi-Fi?,"Yes, we offer complimentary high-speed Wi-Fi for all guests."
Is breakfast included in the room rate?,Breakfast is included in certain room packages. Please check your booking details.
What amenities are available in the rooms?,"Our rooms include air conditioning, a minibar, a flat-screen TV, and complimentary toiletries."
Do you have a swimming pool?,"Yes, we have an outdoor swimming pool open from 7 AM to 9 PM."
Can I request an early check-in or late check-out?,Early check-in and late check-out are subject to availability. Additional charges may apply.
Is parking available at the hotel?,"Yes, we offer free on-site parking for guests."
Are pets allowed in the hotel?,"Unfortunately, pets are not allowed in the hotel."
What payment methods do you accept?,"We accept credit/debit cards, mobile payments, and cash at the reception."
Do you have a cancellation policy?,Our cancellation policy varies depending on the booking type. Please check your reservation details.
Can I book a room online?,"Yes, you can book a room directly on our website or through third-party booking platforms."
Is there a gym or fitness center in the hotel?,"Yes, our gym is open 24/7 and accessible to all hotel guests."
Do you offer room service?,"Yes, we offer 24-hour room service with a variety of dining options."
Are there any nearby tourist attractions?,"Yes, we are close to several popular attractions. Our front desk can provide recommendations and directions."
Hello,Hi! How can I help you?
Hi there.,Hello! Do you have any inquries?
How can I book a room ?,Sir! You can book a room in our hotel by going to online reservation on our hotel website there you can choose your check in and check out time to your liking.
where is the hotel located?,"The location of our hotel is dhobidhara, Kathmandu."
What types of rooms do you have?,"We offer three types of rooms: Duplex, Family, and Super Comfort."
Can you tell me about the Duplex room?,"The Duplex room has 2 single beds and comes with AC, TV, and WiFi. It costs Rs 1500 per night."
What are the facilities available in the Family room?,"The Family room includes 2 double beds, a sofa, TV, wifi, a balcony, and AC. It costs Rs 3500 per night."
How much does the Super Comfort room cost?,"The Super Comfort room costs Rs 2200 per night. It comes with 1 double bed, AC, TV, and WiFi."
Which room is the cheapest?,The Duplex room is the most affordable at Rs 1500 per night.
Which room is the most expensive?,The Family room is the most expensive at Rs 3500 per night.
Do all rooms have WiFi?,"Yes, all our rooms include WiFi access."
Do you have a room with a balcony?,"Yes, the Family room has a balcony."
Which rooms have AC?,"All our rooms (Duplex, Family, and Super Comfort) are equipped with AC."
Can I book a Family room for two people?,"Yes, but the Family room is best suited for families as it has two double beds."
Can I book a room for one night?,"Yes, our rooms are available for nightly bookings."
Do you offer discounts for long stays?,Please contact our reception to inquire about discounts for long stays.
Do you have rooms available for tomorrow?,Let me check the availability. Could you please specify the room type and number of guests?
Can I book a room for two nights?,"Yes, you can book a room for any duration. Please let me know your check-in and check-out dates."
Can you suggest a room for four people?,The Family room is the best option as it has 2 double beds and enough space for four guests.
Do you have honeymoon suites?,"We don’t have a specific honeymoon suite, but the Super Comfort room is great for couples."
Can I get a bill for my stay?,"Yes, we provide detailed invoices for your stay."
How do I request room cleaning?,You can schedule room cleaning by informing the reception or using the chatbot.
Can you recommend some nearby tourist attractions?,"Yes! Some popular attractions near our hotel include Kathmandu Durbar Square, Dharahara, Narayanhiti Palace, Garden of Dreams, Hanuman Dhoka, Thamel."
Is there a shopping mall near the hotel?,"Yes, there's City Center Mall that is just a 5 min walking distance from our hotel."
Can I rebook the same room for my next visit?,"Yes, we can prioritize your booking for the same room if available."
Do you have any budget-friendly rooms?,"Yes, our Duplex room is the most budget-friendly option at 1500 Rs per night."
Which room is best for a family with kids?,Our Family room is perfect for families.
Do you have non-smoking rooms?,"Yes, we have both smoking and non-smoking rooms available."
Can I get a room on a higher floor?,"Yes, you can request a higher-floor room, but it depends on availability."
Do you offer late check-out?,"Late check-out can be arranged, but additional charges may apply."
Is there a minibar in the rooms?,Minibars are available in Super Comfort and Family rooms.
Do you provide a hairdryer in the rooms?,"Yes, all rooms are equipped with a hairdryer."
Do you have an in-house restaurant?,"Yes, we have a multi-cuisine restaurant serving breakfast, lunch, and dinner."
Do you have vegetarian food options?,"Yes, we have a variety of vegetarian and vegan-friendly dishes on our menu."
